x_m,y_m,z_m,FOF,HF,Temperature_K,TempGrad_Kpm,Vx,Vy,Vz,Vmag,x_mm,y_mm,z_mm,power_W,kNN,cond_A,grad_valid,Q,Q_pos_flag,vorticity_mag,strain2,is_interface,is_heated,is_interface_heated,is_slice_near_symmetry,slice_y_threshold_m
0.00500115,0.000203465,0.00041908,0.999599,0.0,1842.24,1531190.0,0.0424541,-0.00298633,-0.0323153,0.0534373,5.00115,0.203465,0.41908,350,25,2.6238269781416252,1,-80830.04558962215,0,365.39426314437617,228416.57494865512,0,0,0,0,2e-05
0.00500449,0.000104849,0.000443673,0.917589,0.0,1918.9499999999998,1951690.0,0.0109783,-0.00229359,-0.0208002,0.0236312,5.0044900000000005,0.104849,0.443673,350,25,1.956993374472638,1,-16899.618320126872,0,149.86051587963624,45028.3237501091,1,0,0,0,2e-05
0.00500455,1.36408e-05,0.000104547,0.999918,0.0,1744.38,1596750.0,0.00978789,0.00222247,-0.0102232,0.0143268,5.00455,0.0136408,0.104547,350,25,1.5283697006235657,1,-1870.8838752290208,0,57.84778190619826,5414.950686191581,0,0,0,1,2e-05
0.0050051,0.000396016,0.000299082,0.931313,0.0,1700.86,1059970.0,0.0405051,0.00143978,-0.0267575,0.0485665,5.0051000000000005,0.39601600000000003,0.299082,350,25,1.8205914486989894,1,2838.3106767828212,1,449.31589172668157,95265.76392550587,1,0,0,0,2e-05
0.0050099,0.000369702,0.000351034,0.799426,0.0,1726.41,1009680.0,0.0977692,-0.013839700000000002,-0.0448381,0.108447,5.0099,0.36970200000000003,0.351034,350,25,1.6020796554461023,1,-200320.94998013598,0,598.1136825741638,579511.8886014858,1,0,0,0,2e-05
0.0050156,0.000391475,0.000207646,0.998589,0.0,1649.36,1234270.0,0.00796156,0.00489186,-0.0105316,0.0140794,5.0156,0.391475,0.207646,350,25,2.1786219391550827,1,-10245.70113472933,0,607.033607956064,204736.30286353684,0,0,0,0,2e-05
0.00502501,9.99986e-05,2.50079e-05,0.999851,0.0,1621.41,1623410.0,0.00183692,0.000420161,-0.00183692,0.00263155,5.02501,0.0999986,0.025007900000000003,350,25,2.3010018630910754,1,-2140.8830358786827,0,96.35527252298917,8923.935343247122,0,0,0,0,2e-05
0.00502893,0.000295786,0.000125083,0.999699,0.0,1639.26,1442470.0,0.0038292599999999997,0.00143008,-0.0031033800000000006,0.00513219,5.02893,0.295786,0.125083,350,25,5.245213516902647,1,-8368.080467685551,0,316.2190694920323,66733.41089057448,0,0,0,0,2e-05
0.00504897,0.000162397,4.89737e-05,0.9997130000000001,0.0,1590.54,1597394.0,0.00104618,0.00021008,-0.0008360990000000001,0.00135561,5.04897,0.16239699999999999,0.0489737,350,25,3.914327980262447,1,-875.3624336668177,0,103.29582244148177,7085.738334264701,0,0,0,0,2e-05
0.00505,5e-05,5e-05,0.9999160000000001,0.0,1634.0199999999998,1660560.0,0.00158147,0.000420161,-0.00200163,0.00258536,5.05,0.05,0.05,350,25,2.142219309460494,1,-2763.8338000640624,0,95.56699216416114,10094.192595780543,0,0,0,0,2e-05
