kNN,region,threshold,threshold_value,phi_350,phi_400,ratio_350_400,diff_350_400,direction
12,interface_heated,Q>posP90,457079.1789174384,0.0,0.07692307692307693,0.0,-0.07692307692307693,350<400
13,all,Q>0,0.0,0.1643835616438356,0.11785714285714285,1.3947696139476962,0.04652641878669275,350>400
13,all,Q>posP50,5410.524467686257,0.09931506849315068,0.04285714285714286,2.317351598173516,0.05645792563600782,350>400
13,all,Q>posP75,32280.894327683614,0.04452054794520548,0.02142857142857143,2.0776255707762554,0.023091976516634048,350>400
13,all,Q>posP90,99818.88603828968,0.02054794520547945,0.010714285714285714,1.917808219178082,0.009833659491193737,350>400
13,heated,Q>0,0.0,0.05,0.18518518518518517,0.27,-0.13518518518518519,350<400
13,heated,Q>posP50,54897.636602246384,0.05,0.14814814814814814,0.3375,-0.09814814814814814,350<400
13,heated,Q>posP75,163909.89063167587,0.0,0.1111111111111111,0.0,-0.1111111111111111,350<400
13,heated,Q>posP90,437655.5063848374,0.0,0.1111111111111111,0.0,-0.1111111111111111,350<400
13,interface,Q>0,0.0,0.17518248175182483,0.0546875,3.2033368091762253,0.12049498175182483,350>400
13,interface,Q>posP50,35602.39393655158,0.06569343065693431,0.046875,1.4014598540145986,0.01881843065693431,350>400
13,interface,Q>posP75,91157.7430105994,0.043795620437956206,0.0234375,1.8686131386861315,0.020358120437956206,350>400
13,interface,Q>posP90,377479.5315843959,0.014598540145985401,0.0234375,0.6228710462287105,-0.008838959854014599,350<400
13,interface_heated,Q>0,0.0,0.05405405405405406,0.19230769230769232,0.2810810810810811,-0.13825363825363826,350<400
13,interface_heated,Q>posP50,54897.636602246384,0.05405405405405406,0.15384615384615385,0.35135135135135137,-0.0997920997920998,350<400
13,interface_heated,Q>posP75,163909.89063167587,0.0,0.11538461538461539,0.0,-0.11538461538461539,350<400
13,interface_heated,Q>posP90,437655.5063848374,0.0,0.11538461538461539,0.0,-0.11538461538461539,350<400
14,all,Q>0,0.0,0.19047619047619047,0.10357142857142858,1.8390804597701147,0.08690476190476189,350>400
14,all,Q>posP50,6053.393604728146,0.10204081632653061,0.03571428571428571,2.857142857142857,0.0663265306122449,350>400
14,all,Q>posP75,30714.250687548716,0.04421768707482993,0.014285714285714285,3.0952380952380953,0.02993197278911565,350>400
14,all,Q>posP90,92302.66594419503,0.017006802721088437,0.007142857142857143,2.3809523809523814,0.009863945578231295,350>400
14,heated,Q>0,0.0,0.1,0.18518518518518517,0.54,-0.08518518518518517,350<400
14,heated,Q>posP50,50216.93133278785,0.05,0.14814814814814814,0.3375,-0.09814814814814814,350<400
14,heated,Q>posP75,125200.2454512869,0.025,0.07407407407407407,0.3375,-0.04907407407407407,350<400
14,heated,Q>posP90,351771.1144805875,0.0,0.07407407407407407,0.0,-0.07407407407407407,350<400
14,interface,Q>0,0.0,0.1897810218978102,0.0546875,3.4702815432742438,0.1350935218978102,350>400
14,interface,Q>posP50,28944.30407681061,0.06569343065693431,0.03125,2.102189781021898,0.03444343065693431,350>400
14,interface,Q>posP75,73458.54882359954,0.043795620437956206,0.015625,2.802919708029197,0.028170620437956206,350>400
14,interface,Q>posP90,270665.8935430037,0.0072992700729927005,0.015625,0.46715328467153283,-0.0083257299270073,350<400
14,interface_heated,Q>0,0.0,0.10810810810810811,0.19230769230769232,0.5621621621621622,-0.0841995841995842,350<400
14,interface_heated,Q>posP50,50216.93133278785,0.05405405405405406,0.15384615384615385,0.35135135135135137,-0.0997920997920998,350<400
14,interface_heated,Q>posP75,125200.2454512869,0.02702702702702703,0.07692307692307693,0.35135135135135137,-0.0498960498960499,350<400
14,interface_heated,Q>posP90,351771.1144805875,0.0,0.07692307692307693,0.0,-0.07692307692307693,350<400
15,all,Q>0,0.0,0.18983050847457628,0.10877192982456141,1.745215965008201,0.08105857865001487,350>400
15,all,Q>posP50,5810.207488695138,0.08813559322033898,0.031578947368421054,2.790960451977401,0.05655664585191793,350>400
15,all,Q>posP75,29534.465012916902,0.05423728813559322,0.017543859649122806,3.0915254237288137,0.03669342848647041,350>400
15,all,Q>posP90,77011.09423273406,0.013559322033898305,0.010526315789473684,1.2881355932203389,0.0030330062444246207,350>400
15,heated,Q>0,0.0,0.075,0.18518518518518517,0.405,-0.11018518518518518,350<400
15,heated,Q>posP50,59984.592582673125,0.05,0.1111111111111111,0.45000000000000007,-0.0611111111111111,350<400
15,heated,Q>posP75,152741.94023753013,0.0,0.1111111111111111,0.0,-0.1111111111111111,350<400
15,heated,Q>posP90,367304.9517165555,0.0,0.07407407407407407,0.0,-0.07407407407407407,350<400
15,interface,Q>0,0.0,0.18248175182481752,0.0703125,2.59529602595296,0.11216925182481752,350>400
15,interface,Q>posP50,30629.183803736458,0.08029197080291971,0.0390625,2.0554744525547446,0.04122947080291971,350>400
15,interface,Q>posP75,62627.779116228834,0.043795620437956206,0.0234375,1.8686131386861315,0.020358120437956206,350>400
